id,p_code,first_name,last_name,gender,alt_last_name_1,alt_last_name_2,dob,hand,backhand,created_at,updated_at,country_id
16,abetz,Andrea,Betzner,F,,,1966-07-10,R,1,2016-01-01 04:08:16.922295,2016-01-01 04:08:16.922295,82
17,aboet,Arnaud,Boetsch,M,,,1969-04-01,R,,2016-01-01 04:08:16.935682,2016-01-01 04:08:16.935682,74
18,abogd,Alex,Bogdanovic,M,,,1984-05-22,L,1,2016-01-01 04:08:16.948249,2016-01-01 04:08:16.948249,227
19,abogo,Alex,Bogomolov Jr.,M,,,1983-04-23,R,,2016-01-01 04:08:16.959426,2016-01-01 04:08:16.959426,228
20,abond,Alona,Bondarenko,F,,,1984-08-13,R,2,2016-01-01 04:08:16.970942,2016-01-01 04:08:16.970942,225
21,abrad,Allison,Bradshaw,F,,,1980-11-14,R,2,2016-01-01 04:08:16.982567,2016-01-01 04:08:16.982567,228
22,abria,Alberta,Brianti,F,,,1980-04-05,R,1,2016-01-01 04:08:16.994393,2016-01-01 04:08:16.994393,107
23,abrug,Arnau,Brugues-Davi,M,,,1985-03-05,L,,2016-01-01 04:08:17.00641,2016-01-01 04:08:17.00641,200
24,aburr,Andrew,Burrow,M,,,1963-06-17,R,,2016-01-01 04:08:17.01853,2016-01-01 04:08:17.01853,197
25,acada,Alexandra,Cadantu,F,,,1990-05-03,R,2,2016-01-01 04:08:17.030104,2016-01-01 04:08:17.030104,178
26,acala,Alex,Calatrava,M,,,1973-06-14,R,,2016-01-01 04:08:17.041937,2016-01-01 04:08:17.041937,200
27,acall,Agustin,Calleri,M,,,1976-09-14,R,,2016-01-01 04:08:17.054012,2016-01-01 04:08:17.054012,10
28,acarg,Ansley,Cargill,F,,,1982-01-05,L,2,2016-01-01 04:08:17.067069,2016-01-01 04:08:17.067069,228
29,acarl,Asa,Carlsson,F,,,1975-06-16,R,2,2016-01-01 04:08:17.078701,2016-01-01 04:08:17.078701,208
30,achak,Anna,Chakvetadze,F,,,1987-03-05,R,2,2016-01-01 04:08:17.090544,2016-01-01 04:08:17.090544,179
31,achan,Albert,Chang,M,,,1971-02-27,R,1,2016-01-01 04:08:17.102859,2016-01-01 04:08:17.102859,38
34,aclem,Arnaud,Clement,M,,,1977-12-17,R,,2016-01-01 04:08:17.138731,2016-01-01 04:08:17.138731,74
35,acoch,Amelie,Cocheteux,F,,,1978-03-27,L,2,2016-01-01 04:08:17.150139,2016-01-01 04:08:17.150139,74
36,acoet,Amanda,Coetzer,F,,,1971-10-22,R,2,2016-01-01 04:08:17.162165,2016-01-01 04:08:17.162165,197
37,acohe,Audra,Cohen,F,,,1986-04-21,R,2,2016-01-01 04:08:17.174202,2016-01-01 04:08:17.174202,228
38,acorn,Alize,Cornet,F,,,1990-01-22,R,2,2016-01-01 04:08:17.185829,2016-01-01 04:08:17.185829,74
39,acorr,Alex,Corretja,M,,,1974-04-11,R,1,2016-01-01 04:08:17.197656,2016-01-01 04:08:17.197656,200
40,acost,Albert,Costa,M,,,1975-06-25,R,,2016-01-01 04:08:17.209666,2016-01-01 04:08:17.209666,200
41,acrof,Annabel,Croft,F,,,1966-07-12,,,2016-01-01 04:08:17.221427,2016-01-01 04:08:17.221427,227
42,adech,Alexia,Dechaume,F,,,1970-05-03,,,2016-01-01 04:08:17.233557,2016-01-01 04:08:17.233557,74
43,adeli,Amir,Delic,M,,,1982-06-30,R,,2016-01-01 04:08:17.245475,2016-01-01 04:08:17.245475,228
44,adere,Artem,Derepasko,M,,,1980-01-26,R,2,2016-01-01 04:08:17.257608,2016-01-01 04:08:17.257608,179
45,adevr,Ann,Devries,F,,,1970-02-27,,,2016-01-01 04:08:17.269425,2016-01-01 04:08:17.269425,21
46,adima,Alessio,Di Mauro,M,,,1977-08-09,R,,2016-01-01 04:08:17.281287,2016-01-01 04:08:17.281287,107
47,adipa,Arnaud,Di Pasquale,M,,,1979-02-11,R,,2016-01-01 04:08:17.2951,2016-01-01 04:08:17.2951,74
48,adolg,Alexandr,Dolgopolov,M,,,1988-11-07,R,2,2016-01-01 04:08:17.306832,2016-01-01 04:08:17.306832,225
49,adserr,Adriana,Serra Zanetti,F,,,1976-03-05,R,B,2016-01-01 04:08:17.318365,2016-01-01 04:08:17.318365,107
50,adulg,Alexandra,Dulgheru,F,,,1989-05-30,R,2,2016-01-01 04:08:17.329967,2016-01-01 04:08:17.329967,178
51,adulo,Amandine,Dulon,F,,,1982-03-22,R,,2016-01-01 04:08:17.354354,2016-01-01 04:08:17.354354,74
52,adupu,Antony,Dupuis,M,,,1973-02-24,R,,2016-01-01 04:08:17.36616,2016-01-01 04:08:17.36616,74
53,aellw,Annabel,Ellwood,F,,,1978-02-02,R,,2016-01-01 04:08:17.37812,2016-01-01 04:08:17.37812,13
54,afall,Alejandro,Falla,M,,,1983-11-14,L,2,2016-01-01 04:08:17.389967,2016-01-01 04:08:17.389967,47
55,afarl,Andrea,Farley,F,,,1971-12-30,,,2016-01-01 04:08:17.402172,2016-01-01 04:08:17.402172,228
56,afost,Andrew,Foster,M,,,1972-03-16,R,,2016-01-01 04:08:17.4139,2016-01-01 04:08:17.4139,227
57,afraz,Amy,Frazier,F,,,1972-09-19,R,2,2016-01-01 04:08:17.42595,2016-01-01 04:08:17.42595,228
58,afusa,Alexandra,Fusai,F,,,1973-11-22,R,2,2016-01-01 04:08:17.438295,2016-01-01 04:08:17.438295,74
59,agarc,Adrian,Garcia,M,,,1978-05-25,R,,2016-01-01 04:08:17.450177,2016-01-01 04:08:17.450177,43
60,agari,Agustin,Garizzio,M,,,1970-03-19,R,,2016-01-01 04:08:17.462358,2016-01-01 04:08:17.462358,10
61,agaud,Andrea,Gaudenzi,M,,,1973-07-30,R,,2016-01-01 04:08:17.474226,2016-01-01 04:08:17.474226,107
62,agava,Angelica,Gavaldon,F,,,1973-10-03,,,2016-01-01 04:08:17.485957,2016-01-01 04:08:17.485957,140
63,agens,Augustin,Gensse,M,,,1983-08-10,R,2,2016-01-01 04:08:17.498019,2016-01-01 04:08:17.498019,74
64,agers,Adriana,Gersi,F,,,1976-06-26,R,2,2016-01-01 04:08:17.510008,2016-01-01 04:08:17.510008,57
65,aglas,Andrea,Glass,F,,,1976-07-17,R,2,2016-01-01 04:08:17.522404,2016-01-01 04:08:17.522404,82
66,aglat,Alexa,Glatch,F,,,1989-09-10,R,2,2016-01-01 04:08:17.5355,2016-01-01 04:08:17.5355,228
67,agolu,Andrey,Golubev,M,,,1987-07-22,R,2,2016-01-01 04:08:17.547473,2016-01-01 04:08:17.547473,111
68,agome,Andres,Gomez,M,,,1960-02-27,L,,2016-01-01 04:08:17.559263,2016-01-01 04:08:17.559263,63
69,agonz,Alejandro,Gonzalez,M,,,1989-02-07,R,,2016-01-01 04:08:17.571278,2016-01-01 04:08:17.571278,47
70,agrah,Amanda,Grahame,F,,,1978-03-25,L,2,2016-01-01 04:08:17.583056,2016-01-01 04:08:17.583056,13
71,agros,Ann,Grossman,F,,,1970-10-13,,,2016-01-01 04:08:17.594955,2016-01-01 04:08:17.594955,228
72,agrun,Amanda,Grunfeld,F,,,1967-03-01,,,2016-01-01 04:08:17.606921,2016-01-01 04:08:17.606921,227
73,agsid,Anne-Gaelle,Sidot,F,,,1979-07-24,L,,2016-01-01 04:08:17.61849,2016-01-01 04:08:17.61849,74
74,ahada,Amir,Hadad,M,,,1978-02-17,R,,2016-01-01 04:08:17.630551,2016-01-01 04:08:17.630551,106
75,ahaid,Andreas,Haider-Maurer,M,,,1987-03-22,R,,2016-01-01 04:08:17.642604,2016-01-01 04:08:17.642604,14
76,ahark,Ashley,Harkleroad,F,,,1985-05-02,R,2,2016-01-01 04:08:17.654364,2016-01-01 04:08:17.654364,228
77,ahayn,Angela,Haynes,F,,,1984-09-27,L,2,2016-01-01 04:08:17.666234,2016-01-01 04:08:17.666234,228
78,ahenr,Ann,Henricksson,F,,,1959-10-31,,,2016-01-01 04:08:17.678151,2016-01-01 04:08:17.678151,228
79,ahern,Alejandro,Hernandez,M,,,1977-10-01,R,2,2016-01-01 04:08:17.689901,2016-01-01 04:08:17.689901,140
80,ahess,Amandine,Hesse,F,,,1993-01-16,R,2,2016-01-01 04:08:17.701914,2016-01-01 04:08:17.701914,74
81,ahlav,Andrea,Hlavackova,F,,,1986-08-10,R,2,2016-01-01 04:08:17.713853,2016-01-01 04:08:17.713853,57
82,ahobb,Anne,Hobbs,F,,,1959-08-21,R,,2016-01-01 04:08:17.725929,2016-01-01 04:08:17.725929,227
33,aches,Andrei,Chesnokov,M,,,1966-02-02,R,,2016-01-01 04:08:17.126259,2016-02-11 21:25:00.701632,179
84,ahopm,Amanda,Hopmans,F,,,1976-03-11,R,,2016-01-01 04:08:17.749212,2016-01-01 04:08:17.749212,13
85,ahube,Anke,Huber,F,,,1974-12-04,R,2,2016-01-01 04:08:17.763451,2016-01-01 04:08:17.763451,82
86,ailie,Andrew,Ilie,M,,,1976-04-18,R,,2016-01-01 04:08:17.775157,2016-01-01 04:08:17.775157,13
87,ajane,Amanda,Janes,F,,,1978-01-15,L,2,2016-01-01 04:08:17.786391,2016-01-01 04:08:17.786391,227
88,ajarr,Anders,Jarryd,M,,,1961-07-13,R,,2016-01-01 04:08:17.798431,2016-01-01 04:08:17.798431,208
89,ajidk,Alina,Jidkova,F,,,1977-01-18,R,2,2016-01-01 04:08:17.810659,2016-01-01 04:08:17.810659,179
90,ajone,Alun,Jones,M,,,1980-04-26,R,,2016-01-01 04:08:17.822611,2016-01-01 04:08:17.822611,13
91,ajons,Amy,Jonsson,F,,,1967-06-08,L,,2016-01-01 04:08:17.834185,2016-01-01 04:08:17.834185,163
92,akane,Angeliki,Kanellopoulou,F,,,1965-12-18,,,2016-01-01 04:08:17.845949,2016-01-01 04:08:17.845949,85
93,akapr,Aniko,Kapros,F,,,1983-11-11,R,2,2016-01-01 04:08:17.858173,2016-01-01 04:08:17.858173,99
94,akell,Audra,Keller,F,,,1971-11-17,,,2016-01-01 04:08:17.87008,2016-01-01 04:08:17.87008,228
95,akeot,Anne,Keothavong,F,,,1983-09-16,R,2,2016-01-01 04:08:17.881968,2016-01-01 04:08:17.881968,227
96,akerb,Angelique,Kerber,F,,,1988-01-18,L,2,2016-01-01 04:08:17.893916,2016-01-01 04:08:17.893916,82
97,akiji,Akiko,Kijimuta,F,,,1968-05-01,,,2016-01-01 04:08:17.905765,2016-01-01 04:08:17.905765,109
98,akim,Alex,Kim,M,,,1978-12-20,R,,2016-01-01 04:08:17.918224,2016-01-01 04:08:17.918224,228
99,aklep,Andreja,Klepac,F,,,1986-03-13,R,2,2016-01-01 04:08:17.930209,2016-01-01 04:08:17.930209,194
100,akley,Alisa,Kleybanova,F,,,1989-07-15,R,2,2016-01-01 04:08:17.941794,2016-01-01 04:08:17.941794,179
101,akmori,Akiko,Morigami,F,,,1980-01-12,R,B,2016-01-01 04:08:17.953874,2016-01-01 04:08:17.953874,109
102,akonj,Ana,Konjuh,F,,,1997-12-27,R,2,2016-01-01 04:08:17.965591,2016-01-01 04:08:17.965591,54
103,akont,Anett,Kontaveit,F,,,1995-12-24,R,2,2016-01-01 04:08:17.977706,2016-01-01 04:08:17.977706,68
104,akour,Anna,Kournikova,F,,,1981-06-07,R,2,2016-01-01 04:08:17.989723,2016-01-01 04:08:17.989723,179
105,akraj,Austin,Krajicek,M,,,1990-06-16,L,2,2016-01-01 04:08:18.001595,2016-01-01 04:08:18.001595,228
106,akrat,Andrew,Kratzmann,M,,,1971-11-03,R,1,2016-01-01 04:08:18.013708,2016-01-01 04:08:18.013708,13
107,akrem,Anne,Kremer,F,,,1975-10-17,R,2,2016-01-01 04:08:18.025543,2016-01-01 04:08:18.025543,126
108,akric,Aaron,Krickstein,M,,,1967-08-02,R,2,2016-01-01 04:08:18.038992,2016-01-01 04:08:18.038992,228
109,akrun,Aleksandra,Krunic,F,,,1993-03-15,R,2,2016-01-01 04:08:18.050668,2016-01-01 04:08:18.050668,189
110,aksch,Anna Karolina,Schmiedlova,F,,,1994-09-13,R,2,2016-01-01 04:08:18.062189,2016-01-01 04:08:18.062189,193
111,akuzn,Alex,Kuznetsov,M,,,1987-02-05,R,,2016-01-01 04:08:18.074222,2016-01-01 04:08:18.074222,228
112,alane,Anthony,Lane,M,,,1965-05-31,R,,2016-01-01 04:08:18.086477,2016-01-01 04:08:18.086477,13
113,alapu,Anna,Lapushchenkova,F,,,1986-10-24,R,2,2016-01-01 04:08:18.098356,2016-01-01 04:08:18.098356,179
114,alaur,Anais,Laurendon,F,,,1985-04-15,R,2,2016-01-01 04:08:18.110136,2016-01-01 04:08:18.110136,74
115,albmanc,Alberto,Mancini,M,,,1969-05-20,R,,2016-01-01 04:08:18.12226,2016-01-01 04:08:18.12226,10
116,alean,Andrea,Leand,F,,,1964-01-18,,,2016-01-01 04:08:18.135651,2016-01-01 04:08:18.135651,228
117,alemanc,Alejo,Mancisidor,M,,,1970-07-13,R,,2016-01-01 04:08:18.146129,2016-01-01 04:08:18.146129,200
118,alesc,Andreas,Lesch,M,,,1966-01-04,R,,2016-01-01 04:08:18.158133,2016-01-01 04:08:18.158133,82
119,alett,Angela,Lettiere,F,,,1972-04-04,R,2,2016-01-01 04:08:18.170004,2016-01-01 04:08:18.170004,228
120,alexkudr,Alexander,Kudryavtsev,M,,,1985-10-26,R,2,2016-01-01 04:08:18.182349,2016-01-01 04:08:18.182349,179
121,alfri,Anna-Lena,Friedsam,F,,,1994-02-01,R,2,2016-01-01 04:08:18.194017,2016-01-01 04:08:18.194017,82
122,algro,Anna-Lena,Groenefeld,F,,,1985-06-14,R,2,2016-01-01 04:08:18.216459,2016-01-01 04:08:18.216459,82
123,alim,Alize,Lim,F,,,1990-07-13,R,2,2016-01-01 04:08:18.230207,2016-01-01 04:08:18.230207,74
124,aliu,Amber,Liu,F,,,1984-07-06,R,2,2016-01-01 04:08:18.242256,2016-01-01 04:08:18.242256,228
125,allakudr,Alla,Kudryavtseva,F,,,1987-11-03,R,2,2016-01-01 04:08:18.254371,2016-01-01 04:08:18.254371,179
126,almont,Albert,Montanes,M,,,1980-11-26,R,,2016-01-01 04:08:18.265866,2016-01-01 04:08:18.265866,200
127,aloliv,Albano,Olivetti,M,,,1991-11-24,R,,2016-01-01 04:08:18.278136,2016-01-01 04:08:18.278136,74
128,alope,Alex,Lopez-Moron,M,,,1970-11-28,R,,2016-01-01 04:08:18.290052,2016-01-01 04:08:18.290052,200
129,alsido,Alexandre,Sidorenko,M,,,1988-02-18,R,2,2016-01-01 04:08:18.302067,2016-01-01 04:08:18.302067,74
130,amack,Alan,Mackin,M,,,1981-08-11,R,2,2016-01-01 04:08:18.314089,2016-01-01 04:08:18.314089,227
131,amall,Anne,Mall,F,,,1974-12-10,R,2,2016-01-01 04:08:18.326295,2016-01-01 04:08:18.326295,228
132,amann,Adrian,Mannarino,M,,,1988-06-29,L,2,2016-01-01 04:08:18.33796,2016-01-01 04:08:18.33796,74
133,amans,Amos,Mansdorf,M,,,1965-10-20,R,,2016-01-01 04:08:18.350047,2016-01-01 04:08:18.350047,106
134,amart,Alberto,Martin,M,,,1978-08-20,R,,2016-01-01 04:08:18.361996,2016-01-01 04:08:18.361996,200
135,amaur,Andreas,Maurer,M,,,1958-03-08,R,,2016-01-01 04:08:18.374007,2016-01-01 04:08:18.374007,82
136,amcast,Amelie,Castera,F,,,1978-04-09,L,,2016-01-01 04:08:18.385757,2016-01-01 04:08:18.385757,74
137,amcle,Andrew,McLean,M,,,1969-07-20,,,2016-01-01 04:08:18.398241,2016-01-01 04:08:18.398241,13
138,amedg,Anabel,Medina Garrigues,F,,,1982-07-31,R,2,2016-01-01 04:08:18.409934,2016-01-01 04:08:18.409934,200
139,amedv,Andrei,Medvedev,M,,,1974-08-31,R,,2016-01-01 04:08:18.421746,2016-01-01 04:08:18.421746,225
140,amene,Adrian,Menendez-Maceiras,M,,,1985-10-28,R,2,2016-01-01 04:08:18.434153,2016-01-01 04:08:18.434153,200
141,amere,Anne,Meredith,F,,,1969-04-02,,,2016-01-01 04:08:18.445954,2016-01-01 04:08:18.445954,227
142,ameri,Andrey,Merinov,M,,,1971-06-23,L,2,2016-01-01 04:08:18.457934,2016-01-01 04:08:18.457934,179
143,amfer,Anna-Maria,Fernandez,F,,,1960-10-22,,,2016-01-01 04:08:18.470449,2016-01-01 04:08:18.470449,228
144,amfol,Anna-Maria,Foldenyi,F,,,1974-08-22,R,2,2016-01-01 04:08:18.48199,2016-01-01 04:08:18.48199,99
145,amich,Axel,Michon,M,,,1990-12-16,L,2,2016-01-01 04:08:18.494107,2016-01-01 04:08:18.494107,74
146,amill,Annie,Miller,F,,,1977-01-19,,,2016-01-01 04:08:18.506227,2016-01-01 04:08:18.506227,228
148,amitu,Andreea,Mitu,F,,,1991-09-22,R,2,2016-01-01 04:08:18.531138,2016-01-01 04:08:18.531138,178
149,ammaur,Amelie,Mauresmo,F,,,1979-07-05,R,1,2016-01-01 04:08:18.542693,2016-01-01 04:08:18.542693,74
150,amoli,Alicia,Molik,F,,,1981-01-27,R,1,2016-01-01 04:08:18.554481,2016-01-01 04:08:18.554481,13
151,amore,Agustin,Moreno,M,,,1967-03-31,R,,2016-01-01 04:08:18.566353,2016-01-01 04:08:18.566353,140
152,amron,Alexander,Mronz,M,,,1965-04-07,R,,2016-01-01 04:08:18.578361,2016-01-01 04:08:18.578361,82
153,amuha,Asia,Muhammed,F,,,1991-04-04,R,2,2016-01-01 04:08:18.591603,2016-01-01 04:08:18.591603,228
154,amurr,Andy,Murray,M,,,1987-04-15,R,2,2016-01-01 04:08:18.604097,2016-01-01 04:08:18.604097,227
155,amwein,Amir,Weintraub,M,,,1986-09-16,R,,2016-01-01 04:08:18.615366,2016-01-01 04:08:18.615366,106
156,amysk,Anastasia,Myskina,F,,,1981-07-08,R,2,2016-01-01 04:08:18.627343,2016-01-01 04:08:18.627343,179
157,anaivan,Ana,Ivanovic,F,,,1987-11-06,R,2,2016-01-01 04:08:18.639086,2016-01-01 04:08:18.639086,189
158,anaka,Aiko,Nakamura,F,,,1983-12-28,R,B,2016-01-01 04:08:18.650765,2016-01-01 04:08:18.650765,109
159,anaum,Ashley,Naumann,M,,,1970-07-02,R,2,2016-01-01 04:08:18.662849,2016-01-01 04:08:18.662849,13
160,ancast,Andrew,Castle,M,,,1963-11-15,R,,2016-01-01 04:08:18.674826,2016-01-01 04:08:18.674826,227
161,anedo,Aleksandr,Nedovyesov,M,,,1987-02-15,R,,2016-01-01 04:08:18.686557,2016-01-01 04:08:18.686557,111
162,anish,Akemi,Nishiya,F,,,1965-03-11,,,2016-01-01 04:08:18.698914,2016-01-01 04:08:18.698914,109
163,ankuzn,Andrey,Kuznetsov,M,,,1991-02-22,R,2,2016-01-01 04:08:18.710594,2016-01-01 04:08:18.710594,179
164,anmart,Andrej,Martin,M,,,1989-09-20,R,,2016-01-01 04:08:18.722317,2016-01-01 04:08:18.722317,193
83,aholi,Andrea,Holikova,F,,,1968-01-15,,,2016-01-01 04:08:17.737567,2016-02-11 21:28:32.401474,57
165,anmont,Angeles,Montolio,F,,,1975-08-06,R,2,2016-01-01 04:08:18.734628,2016-01-01 04:08:18.734628,200
166,annaivan,Anna,Ivan,F,,,1966-01-17,R,2,2016-01-01 04:08:18.746449,2016-01-01 04:08:18.746449,228
167,annbeck,Annika,Beck,F,,,1994-02-16,R,2,2016-01-01 04:08:18.758394,2016-01-01 04:08:18.758394,82
168,anrod,Anastasia,Rodionova,F,,,1982-05-12,R,2,2016-01-01 04:08:18.770643,2016-01-01 04:08:18.770643,179
169,anserr,Antonella,Serra Zanetti,F,,,1980-07-25,R,2,2016-01-01 04:08:18.782217,2016-01-01 04:08:18.782217,107
170,aobri,Alex,O'Brien,M,,,1970-03-07,R,,2016-01-01 04:08:18.794502,2016-01-01 04:08:18.794502,228
172,aoliv,Angelique,Olivier,F,,,1975-06-12,,,2016-01-01 04:08:18.81815,2016-01-01 04:08:18.81815,74
173,aolsz,Aleksandra,Olsza,F,,,1977-12-08,,,2016-01-01 04:08:18.830492,2016-01-01 04:08:18.830492,173
174,apain,Andrew,Painter,M,,,1975-07-18,,,2016-01-01 04:08:18.842368,2016-01-01 04:08:18.842368,13
175,apano,Alexandra,Panova,F,,,1989-03-22,R,2,2016-01-01 04:08:18.854147,2016-01-01 04:08:18.854147,179
176,apark,Andrew,Park,M,,,1980-01-02,R,,2016-01-01 04:08:18.866419,2016-01-01 04:08:18.866419,228
177,aparm,Arvind,Parmar,M,,,1978-03-22,R,,2016-01-01 04:08:18.878232,2016-01-01 04:08:18.878232,227
178,aparr,Arantxa,Parra-Santonja,F,,,1982-11-09,R,B,2016-01-01 04:08:18.890216,2016-01-01 04:08:18.890216,200
179,apave,Andrei,Pavel,M,,,1974-01-27,R,1,2016-01-01 04:08:18.902122,2016-01-01 04:08:18.902122,178
180,apavi,Ante,Pavic,M,,,1989-03-07,R,2,2016-01-01 04:08:18.913972,2016-01-01 04:08:18.913972,54
181,apavl,Anastasia,Pavlyuchenkova,F,,,1991-07-03,R,2,2016-01-01 04:08:18.926055,2016-01-01 04:08:18.926055,179
182,aperi,Anda,Perianu,F,,,1980-07-04,,,2016-01-01 04:08:18.937883,2016-01-01 04:08:18.937883,178
183,apetk,Andrea,Petkovic,F,,,1987-09-09,R,2,2016-01-01 04:08:18.949729,2016-01-01 04:08:18.949729,82
184,apeya,Alexander,Peya,M,,,1980-06-27,R,,2016-01-01 04:08:18.961884,2016-01-01 04:08:18.961884,14
185,apivo,Anastasia,Pivovarova,F,,,1990-06-16,R,2,2016-01-01 04:08:18.973996,2016-01-01 04:08:18.973996,179
186,apodk,Alexandra,Podkolzina,F,,,1985-09-02,R,2,2016-01-01 04:08:18.985971,2016-01-01 04:08:18.985971,179
187,apopp,Alexander,Popp,M,,,1976-11-04,R,,2016-01-01 04:08:18.998067,2016-01-01 04:08:18.998067,82
188,aport,Albert,Portas,M,,,1973-11-15,R,,2016-01-01 04:08:19.009883,2016-01-01 04:08:19.009883,200
189,apret,Axel,Pretzsch,M,,,1976-06-16,R,,2016-01-01 04:08:19.021843,2016-01-01 04:08:19.021843,82
190,aqure,Aisam,Qureshi,M,,,1980-03-17,R,,2016-01-01 04:08:19.034038,2016-01-01 04:08:19.034038,165
191,aradu,Alex,Radulescu,M,,,1974-12-07,R,,2016-01-01 04:08:19.045705,2016-01-01 04:08:19.045705,82
192,aradw,Agnieszka,Radwanska,F,,,1989-03-06,R,2,2016-01-01 04:08:19.057882,2016-01-01 04:08:19.057882,173
193,arahu,Aki,Rahunen,M,,,1971-12-24,R,,2016-01-01 04:08:19.069923,2016-01-01 04:08:19.069923,73
194,aram,Andy,Ram,M,,,1980-04-10,R,1,2016-01-01 04:08:19.081851,2016-01-01 04:08:19.081851,106
195,aramo,Albert,Ramos,M,,,1988-01-17,L,,2016-01-01 04:08:19.093912,2016-01-01 04:08:19.093912,200
196,areic,Alexander,Reichel,M,,,1971-03-09,R,2,2016-01-01 04:08:19.106056,2016-01-01 04:08:19.106056,228
197,areza,Aravane,Rezai,F,,,1987-03-14,R,2,2016-01-01 04:08:19.118373,2016-01-01 04:08:19.118373,74
198,arich,Andrew,Richardson,M,,,1974-03-14,L,,2016-01-01 04:08:19.130609,2016-01-01 04:08:19.130609,227
199,arisk,Alison,Riske,F,,,1990-06-03,R,2,2016-01-01 04:08:19.141827,2016-01-01 04:08:19.141827,228
200,arodd,Andy,Roddick,M,,,1982-08-30,R,2,2016-01-01 04:08:19.153709,2016-01-01 04:08:19.153709,228
201,aroes,Angelika,Roesch,F,,,1977-06-08,R,2,2016-01-01 04:08:19.16553,2016-01-01 04:08:19.16553,82
202,aroll,Ahsha,Rolle,F,,,1985-03-21,R,1,2016-01-01 04:08:19.177606,2016-01-01 04:08:19.177606,228
203,arrod,Arina,Rodionova,F,,,1989-12-15,R,2,2016-01-01 04:08:19.18995,2016-01-01 04:08:19.18995,13
204,arus,Arantxa,Rus,F,,,1990-12-13,L,2,2016-01-01 04:08:19.202215,2016-01-01 04:08:19.202215,153
205,asa,Andre,Sa,M,,,1977-05-06,R,,2016-01-01 04:08:19.213959,2016-01-01 04:08:19.213959,30
206,asanc,Arantxa,Sanchez-Vicario,F,,,1971-12-18,R,2,2016-01-01 04:08:19.225864,2016-01-01 04:08:19.225864,200
207,asavo,Attila,Savolt,M,,,1976-02-05,R,,2016-01-01 04:08:19.237868,2016-01-01 04:08:19.237868,99
208,aschw,Amy,Schwartz,F,,,1969-09-02,,,2016-01-01 04:08:19.249949,2016-01-01 04:08:19.249949,228
209,ascot,Alison,Scott,F,,,1968-02-08,R,,2016-01-01 04:08:19.261632,2016-01-01 04:08:19.261632,13
210,asepp,Andreas,Seppi,M,,,1984-02-21,R,2,2016-01-01 04:08:19.273394,2016-01-01 04:08:19.273394,107
211,aseva,Anastasija,Sevastova,F,,,1990-04-13,R,2,2016-01-01 04:08:19.286015,2016-01-01 04:08:19.286015,119
212,asimo,Alexandre,Simoni,M,,,1979-07-02,R,,2016-01-01 04:08:19.297674,2016-01-01 04:08:19.297674,30
213,asmas,Anna,Smashnova,F,,,1976-07-16,R,1,2016-01-01 04:08:19.30945,2016-01-01 04:08:19.30945,106
214,asmit,Anne,Smith,F,,,1959-07-01,R,1,2016-01-01 04:08:19.322543,2016-01-01 04:08:19.322543,228
215,aspea,Abigail,Spears,F,,,1981-07-12,R,2,2016-01-01 04:08:19.347385,2016-01-01 04:08:19.347385,228
216,astev,Alexandra,Stevenson,F,,,1980-12-15,R,1,2016-01-01 04:08:19.35915,2016-01-01 04:08:19.35915,228
217,astol,Andrei,Stoliarov,M,,,1977-01-09,R,,2016-01-01 04:08:19.371066,2016-01-01 04:08:19.371066,179
