Player Id,First Name,Last Name,Country,Gender,Alt Last Name 1,Alt Last Name 2,DOB,Hand,Backhand
ACorn,Alize,Cornet,France,F,,,1990-01-22,R,2
ACorr,Alex,Corretja,Spain,M,,,1974-04-11,R,1
ACost,Albert,Costa,Spain,M,,,1975-06-25,R,
ACrof,Annabel,Croft,UK,F,,,1966-07-12,,
ADech,Alexia,Dechaume,France,F,Balleret,,1970-05-03,,
ADeli,Amir,Delic,USA,M,,,1982-06-30,R,
ADere,Artem,Derepasko,Russia,M,,,1980-01-26,R,2
ADevr,Ann,Devries,Belgium,F,,,1970-02-27,,
ADiMa,Alessio,Di Mauro,Italy,M,,,1977-08-09,R,
ADiPa,Arnaud,Di Pasquale,France,M,,,1979-02-11,R,
ADolg,Alexandr,Dolgopolov,Ukraine,M,,,1988-11-07,R,2
AdSerr,Adriana,Serra Zanetti,Italy,F,,,1976-03-05,R,B
ADulg,Alexandra,Dulgheru,Romania,F,,,1989-05-30,R,2
ADulo,Amandine,Dulon,France,F,,,1982-03-22,R,
ADupu,Antony,Dupuis,France,M,,,1973-02-24,R,
AEllw,Annabel,Ellwood,Australia,F,,,1978-02-02,R,
AFall,Alejandro,Falla,Colombia,M,,,1983-11-14,L,2
AFarl,Andrea,Farley,USA,F,,,1971-12-30,,
AFost,Andrew,Foster,UK,M,,,1972-03-16,R,
AFraz,Amy,Frazier,USA,F,,,1972-09-19,R,2
AFusa,Alexandra,Fusai,France,F,,,1973-11-22,R,2
AGarc,Adrian,Garcia,Chile,M,,,1978-05-25,R,
AGari,Agustin,Garizzio,Argentina,M,,,1970-03-19,R,
AGaud,Andrea,Gaudenzi,Italy,M,,,1973-07-30,R,
AGava,Angelica,Gavaldon,Mexico,F,,,1973-10-03,,
AGens,Augustin,Gensse,France,M,,,1983-08-10,R,2
AGers,Adriana,Gersi,Czech Republic,F,Rikl,,1976-06-26,R,2
AGlas,Andrea,Glass,Germany,F,,,1976-07-17,R,2
AGlat,Alexa,Glatch,USA,F,,,1989-09-10,R,2
AGolu,Andrey,Golubev,Kazakhstan,M,,,1987-07-22,R,2
AGome,Andres,Gomez,Ecuador,M,,,1960-02-27,L,
AGonz,Alejandro,Gonzalez,Colombia,M,,,1989-02-07,R,
AGrah,Amanda,Grahame,Australia,F,,,1978-03-25,L,2
AGros,Ann,Grossman,USA,F,Wunderlich,,1970-10-13,,
AGrun,Amanda,Grunfeld,UK,F,,,1967-03-01,,
AGSid,Anne-Gaelle,Sidot,France,F,,,1979-07-24,L,
AHada,Amir,Hadad,Israel,M,,,1978-02-17,R,
AHaid,Andreas,Haider-Maurer,Austria,M,,,1987-03-22,R,
AHark,Ashley,Harkleroad,USA,F,,,1985-05-02,R,2
AHayn,Angela,Haynes,USA,F,,,1984-09-27,L,2
AHenr,Ann,Henricksson,USA,F,,,1959-10-31,,
AHern,Alejandro,Hernandez,Mexico,M,,,1977-10-01,R,2
AHess,Amandine,Hesse,France,F,,,1993-01-16,R,2
AHlav,Andrea,Hlavackova,Czech Republic,F,,,1986-08-10,R,2
AHobb,Anne,Hobbs,UK,F,,,1959-08-21,R,
AHoli,Andrea,Holikova,Czechoslovakia,F,,,1968-01-15,,
AHopm,Amanda,Hopmans,Australia,F,,,1976-03-11,R,
AHube,Anke,Huber,Germany,F,,,1974-12-04,R,2
AIlie,Andrew,Ilie,Australia,M,,,1976-04-18,R,
AJane,Amanda,Janes,UK,F,Keen,,1978-01-15,L,2
AJarr,Anders,Jarryd,Sweden,M,,,1961-07-13,R,
AJidk,Alina,Jidkova,Russia,F,,,1977-01-18,R,2
AJone,Alun,Jones,Australia,M,,,1980-04-26,R,
AJons,Amy,Jonsson,Norway,F,Raaholt,,1967-06-08,L,
AKane,Angeliki,Kanellopoulou,Greece,F,,,1965-12-18,,
AKapr,Aniko,Kapros,Hungary,F,,,1983-11-11,R,2
AKell,Audra,Keller,USA,F,,,1971-11-17,,
AKeot,Anne,Keothavong,UK,F,,,1983-09-16,R,2
AKerb,Angelique,Kerber,Germany,F,,,1988-01-18,L,2
AKiji,Akiko,Kijimuta,Japan,F,,,1968-05-01,,
AKim,Alex,Kim,USA,M,,,1978-12-20,R,
AKlep,Andreja,Klepac,Slovenia,F,,,1986-03-13,R,2
AKley,Alisa,Kleybanova,Russia,F,,,1989-07-15,R,2
AkMori,Akiko,Morigami,Japan,F,,,1980-01-12,R,B
AKonj,Ana,Konjuh,Croatia,F,,,1997-12-27,R,2
AKont,Anett,Kontaveit,Estonia,F,,,1995-12-24,R,2
AKour,Anna,Kournikova,Russia,F,,,1981-06-07,R,2
AKraj,Austin,Krajicek,USA,M,,,1990-06-16,L,2
AKrat,Andrew,Kratzmann,Australia,M,,,1971-11-03,R,1
AKrem,Anne,Kremer,Luxembourg,F,,,1975-10-17,R,2
AKric,Aaron,Krickstein,USA,M,,,1967-08-02,R,2
AKrun,Aleksandra,Krunic,Serbia,F,,,1993-03-15,R,2
AKSch,Anna Karolina,Schmiedlova,Slovakia,F,,,1994-09-13,R,2
AKuzn,Alex,Kuznetsov,USA,M,,,1987-02-05,R,
ALane,Anthony,Lane,Australia,M,,,1965-05-31,R,
ALapu,Anna,Lapushchenkova,Russia,F,,,1986-10-24,R,2
ALaur,Anais,Laurendon,France,F,,,1985-04-15,R,2
AlbManc,Alberto,Mancini,Argentina,M,,,1969-05-20,R,
ALean,Andrea,Leand,USA,F,,,1964-01-18,,
AleManc,Alejo,Mancisidor,Spain,M,,,1970-07-13,R,
ALesc,Andreas,Lesch,West Germany,M,,,1966-01-04,R,
ALett,Angela,Lettiere,USA,F,,,1972-04-04,R,2
AlexKudr,Alexander,Kudryavtsev,Russia,M,,,1985-10-26,R,2
ALFri,Anna-Lena,Friedsam,Germany,F,,,1994-02-01,R,2
ALGro,Anna-Lena,Groenefeld,Germany,F,,,1985-06-14,R,2
ALim,Alize,Lim,France,F,,,1990-07-13,R,2
ALiu,Amber,Liu,USA,F,,,1984-07-06,R,2
AllaKudr,Alla,Kudryavtseva,Russia,F,,,1987-11-03,R,2
AlMont,Albert,Montanes,Spain,M,,,1980-11-26,R,
AlOliv,Albano,Olivetti,France,M,,,1991-11-24,R,
ALope,Alex,Lopez-Moron,Spain,M,,,1970-11-28,R,
AlSido,Alexandre,Sidorenko,France,M,,,1988-02-18,R,2
AMack,Alan,Mackin,UK,M,,,1981-08-11,R,2
AMall,Anne,Mall,USA,F,,,1974-12-10,R,2
AMann,Adrian,Mannarino,France,M,,,1988-06-29,L,2
AMans,Amos,Mansdorf,Israel,M,,,1965-10-20,R,
AMart,Alberto,Martin,Spain,M,,,1978-08-20,R,
AMaur,Andreas,Maurer,West Germany,M,,,1958-03-08,R,
AmCast,Amelie,Castera,France,F,,,1978-04-09,L,
AMcLe,Andrew,McLean,Australia,M,,,1969-07-20,,
AMedG,Anabel,Medina Garrigues,Spain,F,,,1982-07-31,R,2
AMedv,Andrei,Medvedev,Ukraine,M,,,1974-08-31,R,
AMene,Adrian,Menendez-Maceiras,Spain,M,,,1985-10-28,R,2
AMere,Anne,Meredith,UK,F,Simpkin,,1969-04-02,,
AMeri,Andrey,Merinov,Russia,M,,,1971-06-23,L,2
AMFer,Anna-Maria,Fernandez,USA,F,,,1960-10-22,,
AMFol,Anna-Maria,Foldenyi,Hungary,F,,,1974-08-22,R,2
AMich,Axel,Michon,France,M,,,1990-12-16,L,2
AMill,Annie,Miller,USA,F,,,1977-01-19,,
AMint,Anne,Minter,UK,F,,,1963-04-03,,
AMitu,Andreea,Mitu,Romania,F,,,1991-09-22,R,2
AmMaur,Amelie,Mauresmo,France,F,,,1979-07-05,R,1
AMoli,Alicia,Molik,Australia,F,,,1981-01-27,R,1
AMore,Agustin,Moreno,Mexico,M,,,1967-03-31,R,
AMron,Alexander,Mronz,West Germany,M,,,1965-04-07,R,
AMuha,Asia,Muhammed,USA,F,,,1991-04-04,R,2
AMurr,Andy,Murray,UK,M,,,1987-04-15,R,2
AmWein,Amir,Weintraub,Israel,M,,,1986-09-16,R,
AMysk,Anastasia,Myskina,Russia,F,,,1981-07-08,R,2
AnaIvan,Ana,Ivanovic,Serbia,F,,,1987-11-06,R,2
ANaka,Aiko,Nakamura,Japan,F,,,1983-12-28,R,B
ANaum,Ashley,Naumann,Australia,M,,,1970-07-02,R,2
AnCast,Andrew,Castle,UK,M,,,1963-11-15,R,
ANedo,Aleksandr,Nedovyesov,Kazakhstan,M,,,1987-02-15,R,
ANish,Akemi,Nishiya,Japan,F,Kinoshita,,1965-03-11,,
AnKuzn,Andrey,Kuznetsov,Russia,M,,,1991-02-22,R,2
AnMart,Andrej,Martin,Slovakia,M,,,1989-09-20,R,
AnMont,Angeles,Montolio,Spain,F,,,1975-08-06,R,2
AnnaIvan,Anna,Ivan,USA,F,,,1966-01-17,R,2
AnnBeck,Annika,Beck,Germany,F,,,1994-02-16,R,2
AnRod,Anastasia,Rodionova,Russia,F,,,1982-05-12,R,2
AnSerr,Antonella,Serra Zanetti,Italy,F,,,1980-07-25,R,2
AOBri,Alex,O'Brien,USA,M,,,1970-03-07,R,
AOlho,Andrei,Olhovskiy,USSR,M,,,1966-04-15,R,
AOliv,Angelique,Olivier,France,F,,,1975-06-12,,
AOlsz,Aleksandra,Olsza,Poland,F,,,1977-12-08,,
APain,Andrew,Painter,Australia,M,,,1975-07-18,,
APano,Alexandra,Panova,Russia,F,,,1989-03-22,R,2
APark,Andrew,Park,USA,M,,,1980-01-02,R,
AParm,Arvind,Parmar,UK,M,,,1978-03-22,R,
AParr,Arantxa,Parra-Santonja,Spain,F,,,1982-11-09,R,B
APave,Andrei,Pavel,Romania,M,,,1974-01-27,R,1
APavi,Ante,Pavic,Croatia,M,,,1989-03-07,R,2
APavl,Anastasia,Pavlyuchenkova,Russia,F,,,1991-07-03,R,2
APeri,Anda,Perianu,Romania,F,,,1980-07-04,,
APetk,Andrea,Petkovic,Germany,F,,,1987-09-09,R,2
APeya,Alexander,Peya,Austria,M,,,1980-06-27,R,
APivo,Anastasia,Pivovarova,Russia,F,,,1990-06-16,R,2
APodk,Alexandra,Podkolzina,Russia,F,,,1985-09-02,R,2
APopp,Alexander,Popp,Germany,M,,,1976-11-04,R,
APort,Albert,Portas,Spain,M,,,1973-11-15,R,
APret,Axel,Pretzsch,Germany,M,,,1976-06-16,R,
AQure,Aisam,Qureshi,Pakistan,M,,,1980-03-17,R,
ARadu,Alex,Radulescu,Germany,M,,,1974-12-07,R,
ARadw,Agnieszka,Radwanska,Poland,F,,,1989-03-06,R,2
ARahu,Aki,Rahunen,Finland,M,,,1971-12-24,R,
ARam,Andy,Ram,Israel,M,,,1980-04-10,R,1
ARamo,Albert,Ramos,Spain,M,,,1988-01-17,L,
AReic,Alexander,Reichel,USA,M,,,1971-03-09,R,2
AReza,Aravane,Rezai,France,F,,,1987-03-14,R,2
ARich,Andrew,Richardson,UK,M,,,1974-03-14,L,
ARisk,Alison,Riske,USA,F,,,1990-06-03,R,2
ARodd,Andy,Roddick,USA,M,,,1982-08-30,R,2
ARoes,Angelika,Roesch,Germany,F,,,1977-06-08,R,2
ARoll,Ahsha,Rolle,USA,F,,,1985-03-21,R,1
ArRod,Arina,Rodionova,Australia,F,,,1989-12-15,R,2
ARus,Arantxa,Rus,Netherlands,F,,,1990-12-13,L,2
ASa,Andre,Sa,Brazil,M,,,1977-05-06,R,
ASanc,Arantxa,Sanchez-Vicario,Spain,F,,,1971-12-18,R,2
ASavo,Attila,Savolt,Hungary,M,,,1976-02-05,R,
ASchw,Amy,Schwartz,USA,F,,,1969-09-02,,
AScot,Alison,Scott,Australia,F,,,1968-02-08,R,
ASepp,Andreas,Seppi,Italy,M,,,1984-02-21,R,2
ASeva,Anastasija,Sevastova,Latvia,F,,,1990-04-13,R,2
ASimo,Alexandre,Simoni,Brazil,M,,,1979-07-02,R,
ASmas,Anna,Smashnova,Israel,F,Pistolesi,,1976-07-16,R,1
ASmit,Anne,Smith,USA,F,,,1959-07-01,R,1
ASpea,Abigail,Spears,USA,F,,,1981-07-12,R,2
AStev,Alexandra,Stevenson,USA,F,,,1980-12-15,R,1
AStol,Andrei,Stoliarov,Russia,M,,,1977-01-09,R,
AStop,Andreas,Stoppini,Italy,M,,,1980-02-29,R,2
AStrn,Andrea,Strnadova,Czechoslovakia,F,,,1972-05-28,,
ASugi,Ai,Sugiyama,Japan,F,,,1975-07-05,R,2
ASzav,Agnes,Szavay,Hungary,F,,,1988-12-29,R,2
ASzil,Adriana,Szili,Australia,F,,,1985-01-06,R,2
ASzna,Andrew,Sznajder,Canada,M,,,1967-05-25,R,
ATati,Anna,Tatishvili,Georgia,F,,,1990-02-03,R,2
ATeme,Andrea,Temesvari,Hungary,F,,,1966-04-26,R,2
AThom,Arne,Thoms,West Germany,M,,,1971-01-01,R,
ATiez,Andrea,Tiezzi,Argentina,F,,,1964-11-26,,
ATobi,Amanda,Tobin-Dingwall,Australia,F,,,1960-06-08,R,
AToml,Ajla,Tomljanovic,Croatia,F,,,1993-05-07,R,2
ATord,Abigail,Tordoff,UK,F,,,1979-07-18,,
ATous,Alberto,Tous,Spain,M,,,1962-08-03,R,
AUngu,Adrian,Ungur,Romania,M,,,1985-01-25,R,
AuSido,Audrey,Sidot,France,F,,,1977-03-07,,
AVask,Alena,Vaskova,Czech Republic,F,Nesticka,,1975-11-08,R,2
AVedy,Aurelie,Vedy,France,F,,,1981-02-08,L,2
AVeic,Antonio,Veic,Croatia,M,,,1988-02-18,R,
AViei,Andrea,Vieira,Brazil,F,,,1971-02-05,,
AVill,Adriana,Villagran,Argentina,F,Reami,,1956-08-07,,
AVinc,Andreas,Vinciguerra,Sweden,M,,,1981-02-19,L,
AVoin,Adrian,Voinea,Romania,M,,,1974-08-06,R,
AVolk,Alexander,Volkov,USSR,M,,,1967-03-03,R,
AVUyt,Alison,Van Uytvanck,Belgium,F,,,1994-03-26,R,2
AVysa,Andres,Vysand,USSR,M,,,1966-03-10,R,
AWain,Amanda,Wainwright,UK,F,,,1976-03-24,,
AWask,Alexander,Waske,Germany,M,,,1975-03-31,R,
AWein,Ashley,Weinhold,USA,F,,,1989-06-20,R,2
AWidj,Angelique,Widjaja,Indonesia,F,,,1984-12-12,R,2
AWozn,Aleksandra,Wozniak,Canada,F,,,1987-09-07,R,2
AYaki,Anastasiya,Yakimova,Belarus,F,,,1986-11-01,R,2
AyMori,Ayumi,Morita,Japan,F,,,1990-03-11,R,B
AZuga,Agnes,Zugasti,France,F,,,1972-05-15,R,2
BBake,Brian,Baker,USA,M,,,1985-04-30,R,2
BBenc,Belinda,Bencic,Switzerland,F,,,1997-03-10,R,2
BBiel,Bea,Bielik,USA,F,,,1980-11-28,R,
BBlac,Byron,Black,Zimbabwe,M,,,1969-10-06,R,
BBobu,Bojana,Bobusic,Australia,F,,,1987-10-02,R,2
BBorn,Belinda,Borneo,UK,F,,,1966-11-10,R,
BBowe,Beverly,Bowes,USA,F,Hackney,,1965-09-09,,
BBrya,Bob,Bryan,USA,M,,,1978-04-29,L,2
BCapr,Beatrice,Capra,USA,F,,,1992-04-06,R,2
BColl,Barbara,Collet,France,F,,,1974-02-13,R,2
BCord,Belinda,Cordwell,New Zealand,F,,,1965-09-21,,
BCowa,Barry,Cowan,UK,M,,,1974-08-25,L,1
BCust,Brent,Custer,Australia,M,,,1968-04-01,R,
BDabu,Brian,Dabul,Argentina,M,,,1984-02-24,L,
BDerl,Bruce,Derlin,New Zealand,M,,,1961-11-28,L,
BDeve,Brian,Devening,USA,M,,,1967-07-16,R,
BDors,Benedikt,Dorsch,Germany,M,,,1981-01-10,R,1
BDrew,Brad,Drewett,Australia,M,,,1958-07-19,L,
BDunn,Brian,Dunn,USA,M,,,1974-04-05,R,
BDyke,Broderick,Dyke,Australia,M,,,1960-12-31,L,
BeBeck,Benjamin,Becker,Germany,M,,,1981-06-16,R,2
BEcha,Bruno,Echagaray,Mexico,M,,,1983-05-08,R,
BEllw,Ben,Ellwood,Australia,M,,,1976-03-12,R,
BEvan,Brendan,Evans,USA,M,,,1986-04-08,R,
BFulc,Bettina,Fulco-Villella,Argentina,F,,,1968-10-23,,
BGarn,Bret,Garnett,USA,M,,,1967-07-02,R,
BGarr,Brian,Garrow,USA,M,,,1968-04-08,R,
BGerk,Barbara,Gerken,USA,F,,,1964-07-03,,
BGilb,Brad,Gilbert,USA,M,,,1961-08-09,R,2
BGrif,Barbara,Griffiths,UK,F,,,1972-05-20,,
BHans,Brett,Hansen-Dent,USA,M,,,1972-07-02,R,
BHerr,Beth,Herr,USA,F,,,1964-05-28,,
BJoel,Brian,Joelson,USA,M,,,1961-09-30,R,
BJova,Bojana,Jovanovski,Serbia,F,,,1991-12-31,R,2
BKarb,Bernd,Karbacher,Germany,M,,,1968-04-03,R,
BKavc,Blaz,Kavcic,Slovenia,M,,,1987-03-05,R,
BKlah,Bradley,Klahn,USA,M,,,1990-08-20,L,
BKlei,Brydan,Klein,Australia,M,,,1989-12-31,R,
BKnit,Bastain,Knittel,Germany,M,,,1983-08-08,L,
BLama,Bianka,Lamade,Germany,F,,,1982-08-30,R,2
BLark,Brent,Larkham,Australia,M,,,1972-01-08,R,
BMacP,Brian,MacPhie,USA,M,,,1972-05-11,L,
BMads,Bertrand,Madsen,Haiti,M,,,1972-05-18,,
BMatt,Bethanie,Mattek-Sands,USA,F,,,1985-03-23,R,2
BMitc,Benjamin,Mitchell,Australia,M,,,1992-11-30,R,2
BMoir,Barry,Moir,South Africa,M,,,1963-06-01,R,
BMouh,Bahia,Mouhtassine,Morocco,F,,,1979-08-23,R,2
BMule,Barbara,Mulej,Yugoslavia,F,,,1974-05-29,R,2
BNage,Betsy,Nagelsen,USA,F,,,1956-10-23,,
BoBeck,Boris,Becker,Germany,M,,,1967-11-22,R,
BOPed,Bent-Ore,Pedersen,Norway,M,,,1967-07-11,,
BOres,Bruno,Oresar,Croatia,M,,,1967-04-21,R,
BPair,Benoit,Paire,France,M,,,1989-05-08,R,2
BPash,Boris,Pashanski,Serbia,M,,,1982-11-03,R,
BPaul,Barbara,Paulus,Austria,F,,,1970-09-01,R,
BPear,Brad,Pearce,USA,M,,,1966-03-21,R,
BPhau,Bjorn,Phau,Germany,M,,,1979-10-04,R,1
BPott,Barbara,Potter,USA,F,,,1961-10-22,L,
BRehn,Bjorn,Rehnquist,Sweden,M,,,1978-01-05,R,2
BRein,Beate,Reinstadler,Austria,F,,,1967-05-20,,
BReyn,Bobby,Reynolds,USA,M,,,1982-07-17,R,2
BRipp,Brie,Rippner,USA,F,,,1980-01-21,R,2
BRitt,Barbara,Rittner,Germany,F,,,1973-04-25,R,2
BRoe,Bryan,Roe,Australia,M,,,1969-08-20,,
BRola,Blaz,Rola,Slovenia,M,,,1990-10-05,L,
BRoma,Barbara,Romano,Italy,F,,,1965-01-14,,
BScan,Bill,Scanlon,USA,M,,,1956-11-19,R,1
BSche,Barbara,Schett,Austria,F,,,1976-03-10,R,2
BSchu,Brenda,Schultz,Netherlands,F,McCarthy,,1970-12-28,R,
BSchw,Barbara,Schwartz,Austria,F,,,1979-01-27,L,
BShel,Bryan,Shelton,USA,M,,,1965-12-22,R,
BSKim,Bong-Soo,Kim,South Korea,M,,,1962-11-30,R,
BStan,Branislav,Stankovic,Czechoslovakia,M,,,1965-05-30,R,
BStev,Brett,Steven,New Zealand,M,,,1969-04-27,R,
BStew,Bryanne,Stewart,Australia,F,,,1979-12-09,R,
BStry,Barbora,Strycova,Czech Republic,F,,,1986-03-28,R,2
BTalb,Byron,Talbot,South Africa,M,,,1964-09-15,R,
BTomi,Bernard,Tomic,Australia,M,,,1992-10-21,R,2
BudSchu,Bud,Schultz,USA,M,,,1959-08-21,R,
BUlih,Bohdan,Ulihrach,Czech Republic,M,,,1975-02-23,R,
BVaha,Brian,Vahaly,USA,M,,,1979-07-19,R,
BWils,Brian,Wilson,USA,M,,,1982-05-23,R,
BWuyt,Bart,Wuyts,Belgium,M,,,1969-09-15,R,
CAdam,Chuck,Adams,USA,M,,,1971-04-23,R,
CAlta,Collin,Altamirano,USA,M,,,1995-12-07,R,
CaMacG,Cammy,MacGregor,USA,F,,,1968-10-01,,
CAMil,Craig A.,Miller,USA,M,,,1963-03-10,,
CArri,Carsten,Arriens,Germany,M,,,1969-04-11,R,
CAuff,Charles,Auffray,France,M,,,1973-02-24,R,
CBail,Chris,Bailey,UK,M,,,1968-04-29,R,
CBakk,Carin,Bakkum,Netherlands,F,,,1962-07-25,,
CBall,Carsten,Ball,Australia,M,,,1987-06-20,L,
CBarc,Catherine,Barclay,Australia,F,,,1973-06-12,,
CBart,Csilla,Bartos,Hungary,F,Cserepy,,1966-03-29,,
CBass,Carling,Bassett-Seguso,USA,F,,,1967-10-09,R,2
CBeec,Colin,Beecher,UK,M,,,1970-10-16,R,
CBeig,Celine,Beigbeder,France,F,,,1975-02-25,,
CBenj,Camille,Benjamin,USA,F,,,1966-06-22,,
CBerg,Christian,Bergstrom,Sweden,M,,,1967-07-19,R,
CBerl,Carlos,Berlocq,Argentina,M,,,1983-02-03,R,
CBlac,Cara,Black,Zimbabwe,F,,,1979-02-17,R,2
CBuch,Chase,Buchanan,USA,M,,,1991-06-04,R,2
CCamp,Craig,Campbell,South Africa,M,,,1963-07-18,R,
CCara,Cristiano,Caratti,Italy,M,,,1970-05-24,R,
CCasa,Cristina,Casale,Italy,F,,,1973-01-22,,
CCast,Catalina,Castano,Colombia,F,,,1979-07-07,R,2
CCave,Cathy,Caverzasio,Italy,F,,,1972-09-28,,
CChri,Carol,Christian,USA,F,,,1962-09-09,,
CCohe,Celine,Cohen,Switzerland,F,,,1967-03-05,,
CCost,Carlos,Costa,Spain,M,,,1968-04-22,R,
CCox,Charles,Cox,USA,M,,,1960-04-11,R,
CCris,Catalina,Cristea,Romania,F,,,1975-06-02,,
CCunn,Carrie,Cunningham,USA,F,,,1972-04-28,,
CDahl,Cecilia,Dahlman,Sweden,F,,,1968-07-24,,
CDell,Casey,Dellacqua,Australia,F,,,1985-02-11,L,2
CDent,Corinna,Dentoni,Italy,F,,,1989-07-30,R,2
CDhen,Caroline,Dhenin,France,F,,,1973-06-13,R,2
CEagl,Charlton,Eagle,Australia,M,,,1963-11-30,R,
CEato,Chris,Eaton,UK,M,,,1987-11-27,R,
CEbel,Colin,Ebelthite,Australia,M,,,1984-11-27,R,
CEver,Chris,Evert,USA,F,,,1954-12-21,R,2
CFauc,Christelle,Fauche,Switzerland,F,,,1973-06-09,,
CFern,Clarisa,Fernandez,Argentina,F,,,1981-08-28,L,2
CFeue,Claire,Feuerstein,France,F,,,1986-02-28,L,1
CGarc,Caroline,Garcia,France,F,,,1993-10-16,R,2
CGarn,Chris,Garner,USA,M,,,1969-04-07,R,
CGior,Camila,Giorgi,Italy,F,,,1991-12-31,R,2
CGucc,Chris,Guccione,Australia,M,,,1985-07-30,L,
CGull,Carly,Gullickson,USA,F,,,1986-11-26,R,2
CHall,Colette,Hall,UK,F,Caple,,1973-07-03,,
CHone,Charles,Honey,South Africa,M,,,1962-01-13,R,
CHoop,Chip,Hooper,USA,M,,,1958-10-24,R,1
ChWood,Chris,Woodruff,USA,M,,,1973-01-02,R,
CJChu,Chia-Jung,Chuang,Taiwan,F,,,1985-01-10,R,2
CJoli,Christiane,Jolissaint,Switzerland,F,,,1961-12-12,,
CKauf,Cedric,Kauffmann,France,M,,,1976-03-01,,
CKenn,Chris,Kennedy,USA,M,,,1963-09-14,,
CKohd,Claudia,Kohde-Kilsch,West Germany,F,,,1963-12-11,R,
CKuhl,Caroline,Kuhlman,USA,F,,,1966-08-25,,
CLimb,Carl,Limberger,Australia,M,,,1964-01-24,R,
CLind,Catarina,Lindqvist,Sweden,F,,,1963-06-16,R,
CLuca,Carole,Lucarelli,France,F,,,1972-11-26,,
ClWood,Clare,Wood,UK,F,,,1968-03-08,,
CMami,Cecil,Mamiit,USA,M,,,1976-06-27,R,
CMars,Clinton,Marsh,South Africa,M,,,1972-01-19,R,
CMart,Conchita,Martinez,Spain,F,,,1972-04-16,R,1
CMartG,Conchita,Martinez-Granados,Spain,F,,,1976-01-20,R,2
CMcHa,Christina,McHale,USA,F,,,1992-05-11,R,2
CMerz,Charles,Merzbacher,USA,M,,,1965-01-31,,
CMezz,Claudio,Mezzadri,Switzerland,M,,,1965-06-10,R,
CMini,Cristian,Miniussi,Argentina,M,,,1967-07-05,R,
CMora,Corina,Morariu,USA,F,,,1978-01-26,R,
CMoth,Catherine,Mothes-Jobkel,France,F,,,1970-06-07,,
CMott,Cassio,Motta,italy,M,,,1960-02-22,R,
CMoya,Carlos,Moya,Spain,M,,,1976-08-27,R,2
CMSte,Cedrik-Marcel,Stebe,Germany,M,,,1990-10-09,L,
CNila,Conor,Niland,Ireland,M,,,1981-09-19,R,2
CPapa,Christina,Papadaki,Greece,F,,,1973-02-24,,
CPin,Camille,Pin,France,F,,,1981-08-25,R,2
CPiol,Cedric,Pioline,France,M,,,1969-06-15,R,
CPist,Claudio,Pistolesi,Italy,M,,,1967-08-25,R,
CPorw,Claudia,Porwik,West Germany,F,,,1968-11-14,,
CPrid,Chris,Pridham,Canada,M,,,1965-04-11,R,
